Group,Scientific name,Does it have a Wikipedia page?,QID,Threat category in SALVE,Biome of occurrence
Amphibians,Adelophryne baturitensis,Yes,Q2208677,Least Concern,Caatinga
Amphibians,Adelophryne glandulata,Yes,Q18552370,Least Concern,"Cerrado, Atlantic Forest"
Amphibians,Adelophryne maranguapensis,Yes,Q2707091,Critically Endangered,Caatinga
Amphibians,Adelophryne meridionalis,Yes,Q18552394,Least Concern,Atlantic Forest
Amphibians,Adelophryne michelin,Yes,Q90884101,Least Concern,Atlantic Forest
Amphibians,Adelophryne mucronata,Yes,Q2824235,Least Concern,Atlantic Forest
Amphibians,Adelophryne pachydactyla,Yes,Q2208616,Data Deficient,Atlantic Forest
Amphibians,Adelphobates castaneoticus,Yes,Q137827,Least Concern,Amazon
Amphibians,Adelphobates galactonotus,Yes,Q138476,Least Concern,"Amazon, Cerrado"
Amphibians,Adenomera ajurauna,Yes,Q28053417,Least Concern,Atlantic Forest
Amphibians,Adenomera araucaria,Yes,Q2050210,Least Concern,"Atlantic Forest, Pampa, Coastal-Marine System"
Amphibians,Adenomera bokermanni,Yes,Q2174196,Least Concern,"Amazon, Cerrado, Atlantic Forest, Coastal-Marine System"
Amphibians,Adenomera cotuba,Yes,Q17600046,Least Concern,Cerrado
Amphibians,Adenomera engelsi,Yes,Q3230014,Least Concern,"Atlantic Forest, Coastal-Marine System"
Amphibians,Adenomera juikitam,Yes,Q17600069,Least Concern,Cerrado
Amphibians,Adenomera marmorata,Yes,Q2241190,Least Concern,"Cerrado, Atlantic Forest, Coastal-Marine System"
Amphibians,Adenomera martinezi,Yes,Q2241161,Least Concern,Amazon
Amphibians,Adenomera nana,Yes,Q20055184,Least Concern,Atlantic Forest
Amphibians,Adenomera saci,Yes,Q17600075,Least Concern,Cerrado
Amphibians,Adenomera thomei,Yes,Q28053547,Least Concern,Atlantic Forest
Amphibians,Gastrotheca albolineata,Yes,Q2208969,Least Concern,Atlantic Forest
Amphibians,Gastrotheca ernestoi,Yes,Q4686381,Least Concern,Atlantic Forest
Amphibians,Gastrotheca fulvorufa,Yes,Q4687142,Least Concern,Atlantic Forest
Amphibians,Gastrotheca microdiscus,Yes,Q2210086,Least Concern,Atlantic Forest
