Scientific name,Group,Does it have a Wikipedia page?,QID,Present in the Species Richness Map,Present on the Map of National Interest,Present on the Map of International Interest,Present in the Map of species richness without Portuguese pages on Wikipedia
Brachycephalus verrucosus,Amphibian,Yes,Q20049478,Yes,Yes,Yes,No
Brachycephalus garbeanus,Amphibian,Yes,Q2923282,Yes,Yes,Yes,No
Ololygon atrata,Amphibian,Yes,Q917966,Yes,Yes,Yes,No
Dendropsophus cachimbo,Amphibian,Yes,Q2699401,Yes,Yes,Yes,No
Cycloramphus duseni,Amphibian,Yes,Q2237534,Yes,Yes,Yes,No
Brachycephalus pitanga,Amphibian,Yes,Q896634,Yes,Yes,Yes,No
Boana pardalis,Amphibian,Yes,Q1942962,Yes,Yes,Yes,No
Ololygon peixotoi,Amphibian,Yes,Q148791,Yes,Yes,Yes,No
Proceratophrys mantiqueira,Amphibian,Yes,Q18465520,Yes,Yes,Yes,No
Ameerega flavopicta,Amphibian,Yes,Q1348948,Yes,Yes,Yes,No
Phyllodytes gyrinaethes,Amphibian,Yes,Q2703095,Yes,Yes,Yes,No
Rhinella henseli,Amphibian,Yes,Q3429369,Yes,Yes,Yes,No
Cycloramphus parvulus,Amphibian,Yes,Q1935909,Yes,Yes,Yes,No
Ololygon catharinae,Amphibian,Yes,Q917952,Yes,Yes,Yes,No
Proceratophrys rotundipalpebra,Amphibian,Yes,Q15401929,Yes,Yes,Yes,No
Leptodactylus latrans,Amphibian,Yes,Q2238202,Yes,Yes,Yes,No
Scinax onca,Amphibian,Yes,Q41766241,Yes,Yes,Yes,No
Euparkerella cochranae,Amphibian,Yes,Q2237088,Yes,Yes,Yes,No
Brachycephalus didactylus,Amphibian,Yes,Q2700345,Yes,Yes,Yes,No
Chiasmocleis avilapiresae,Amphibian,Yes,Q4669910,Yes,Yes,Yes,No
Odontophrynus juquinha,Amphibian,Yes,Q41766226,Yes,Yes,No,No
Hyla imitator,Amphibian,Yes,Q3143873,Yes,Yes,Yes,No
Proceratophrys vielliardi,Amphibian,Yes,Q3406345,Yes,Yes,Yes,No
Holoaden luederwaldti,Amphibian,Yes,Q2237735,Yes,Yes,Yes,No
Dendrophryniscus carvalhoi,Amphibian,Yes,Q2701617,Yes,Yes,Yes,No
Ololygon hiemalis,Amphibian,Yes,Q1746599,Yes,Yes,Yes,No
Proceratophrys huntingtoni,Amphibian,Yes,Q3406335,Yes,Yes,Yes,No
Holoaden suarezi,Amphibian,Yes,Q2738905,Yes,Yes,Yes,No
Melanophryniscus cambaraensis,Amphibian,Yes,Q1941801,Yes,Yes,Yes,No
Ololygon albicans,Amphibian,Yes,Q136521,Yes,Yes,Yes,No
Brachycephalus auroguttatus,Amphibian,Yes,Q20049449,Yes,Yes,Yes,No
Ololygon pombali,Amphibian,Yes,Q18483964,Yes,Yes,Yes,No
Proceratophrys moratoi,Amphibian,Yes,Q27670321,Yes,Yes,Yes,No
Trachycephalus nigromaculatus,Amphibian,Yes,Q2703665,Yes,Yes,Yes,No
Ololygon agilis,Amphibian,Yes,Q136366,Yes,Yes,Yes,No
Dendropsophus pseudomeridianus,Amphibian,Yes,Q2702652,Yes,Yes,Yes,No
Bahius bilineatus,Amphibian,Yes,Q1593718,Yes,Yes,Yes,No
Trachycephalus mambaiensis,Amphibian,Yes,Q4678625,Yes,Yes,Yes,No
Bokermannohyla sagarana,Amphibian,Yes,Q2909225,Yes,Yes,Yes,No
Hylodes meridionalis,Amphibian,Yes,Q2237756,Yes,Yes,Yes,No
Boana guentheri,Amphibian,Yes,Q1942629,Yes,Yes,Yes,No
Julianus pinimus,Amphibian,Yes,Q2706313,Yes,Yes,Yes,No
Allobates brunneus,Amphibian,Yes,Q1936979,Yes,Yes,Yes,No
Paratelmatobius cardosoi,Amphibian,Yes,Q2238901,Yes,Yes,Yes,No
Gastrotheca albolineata,Amphibian,Yes,Q2208969,Yes,Yes,Yes,No
Dendropsophus limai,Amphibian,Yes,Q2700285,Yes,Yes,Yes,No
Ceratophrys joazeirensis,Amphibian,Yes,Q2946385,Yes,Yes,Yes,No
Pithecopus rohdei,Amphibian,Yes,Q28925868,Yes,Yes,Yes,No
Brachycephalus brunneus,Amphibian,Yes,Q1595532,Yes,Yes,Yes,No
Phyllodytes punctatus,Amphibian,Yes,Q2708378,Yes,Yes,Yes,No
Crossodactylodes bokermanni,Amphibian,Yes,Q2236966,Yes,Yes,Yes,No
Dendrophryniscus leucomystax,Amphibian,Yes,Q2702158,Yes,Yes,Yes,No
Chiasmocleis schubarti,Amphibian,Yes,Q2241818,Yes,Yes,Yes,No
Rhinella hoogmoedi,Amphibian,Yes,Q4672342,Yes,Yes,Yes,No
Allobates masniger,Amphibian,Yes,Q4676078,Yes,Yes,Yes,No
Ololygon faivovichi,Amphibian,Yes,Q3020971,Yes,Yes,Yes,No
Aplastodiscus ibirapitanga,Amphibian,Yes,Q773581,Yes,Yes,Yes,No
Trachycephalus lepidus,Amphibian,Yes,Q2707146,Yes,Yes,Yes,No
Bokermannohyla ahenea,Amphibian,Yes,Q2705683,Yes,Yes,Yes,No
Boana cambui,Amphibian,Yes,Q28006424,Yes,Yes,Yes,No
Aplastodiscus cavicola,Amphibian,Yes,Q426324,Yes,Yes,Yes,No
Proceratophrys strussmannae,Amphibian,Yes,Q3406344,Yes,Yes,Yes,No
Proceratophrys moehringi,Amphibian,Yes,Q2238408,Yes,Yes,Yes,No
Bokermannohyla ibitipoca,Amphibian,Yes,Q2702681,Yes,Yes,Yes,No
Scinax caldarum,Amphibian,Yes,Q920411,Yes,Yes,Yes,No
Adenomera saci,Amphibian,Yes,Q17600075,Yes,Yes,Yes,No
