Language,Number_of_species_with_a_page_in_the_language
English,1359
Portuguese,1248
French,1233
Basque,1170
Cebuano,1165
Swedish,1102
Spanish,1073
Vietnamese,1034
Winaray,984
Catalan,827
Ukrainian,604
Nederlands,488
Bulgarian,483
Navajo,417
Hungarian,335
Simple English,299
German,252
Egyptian Arabic,251
Persian,222
Italian,196
Russian,188
Korean,188
Welsh,172
Kotava,157
Finnish,156
Asturian,140
Polish,139
Western Panjabi,137
Arabic,118
Turkish,86
Romanian,86
Serbian,73
Indonesian,70
Chinese,67
Breton,54
Hebrew,38
Esperanto,36
Norwegian,36
Czech,34
Japanese,25
Azerbaijani,22
Western Mari,22
Norwegian Nynorsk,21
Croatian,15
Serbo-Croatian,15
Danish,13
Galician,11
Lithuanian,10
Maltese,9
Western Frisian,8
Belarusian,7
Ga,7
Guarani,7
Tamil,7
Estonian,6
Armenian,6
Manipuri,6
Malay,6
Latvian,5
Udmurt,5
Kirghiz,4
Malayalam,4
Slovak,4
Thai,4
Mirandese,3
Uzbek,3
Aragonese,2
South Azerbaijani,2
Belarusian (be-tarask),2
Occitan,2
Quechua,2
Urdu,2
Bengali,1
Dagbani,1
Modern Greek,1
Cornish,1
Marathi,1
Sranan Tongo,1
